id,created_at,updated_at,slug,translation,sana_id,sana_name,is_iran
103,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""شهرضا""}",5356,شهرضا,1
104,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""فريدن""}",5357,فريدن,1
105,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""فريدون شهر""}",5358,فريدون شهر,1
106,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""گلپايگان""}",5359,گلپايگان,1
107,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""لنجان""}",5360,لنجان,1
108,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""نائين""}",5361,نائين,1
109,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""اردستان""}",5362,اردستان,1
110,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""خوانسار""}",5363,خوانسار,1
111,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""سميرم""}",5364,سميرم,1
112,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""فلاورجان""}",5365,فلاورجان,1
113,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""مباركه""}",5366,مباركه,1
114,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""نطنز""}",5367,نطنز,1
115,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""آران و بيدگل""}",5368,آران و بيدگل,1
116,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""تيران و كرون""}",5369,تيران و كرون,1
117,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""زرين شهر""}",5370,زرين شهر,1
118,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""شاهين شهر""}",5371,شاهين شهر,1
119,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""ميمه""}",5373,ميمه,1
120,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""انارك""}",5374,انارك,1
121,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""بادرود""}",5375,بادرود,1
122,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""باغ بهادران""}",5376,باغ بهادران,1
123,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""بوئين و مياندشت""}",5377,بوئين و مياندشت,1
124,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""چادگان""}",5378,چادگان,1
125,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""چرمهين""}",5379,چرمهين,1
126,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""چمگردان""}",5380,چمگردان,1
127,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""حبيب آباد""}",5381,حبيب آباد,1
128,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""خور""}",5382,خور,1
129,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""خوراسگان""}",5383,خوراسگان,1
130,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""خورزوق""}",5384,خورزوق,1
131,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""داران""}",5385,داران,1
132,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""درچه پياز""}",5386,درچه پياز,1
133,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""دولت آباد""}",5387,دولت آباد,1
134,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""دهاقان""}",5388,دهاقان,1
135,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""دهق""}",5389,دهق,1
136,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""ديزيچه""}",5390,ديزيچه,1
137,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""رهنان""}",5391,رهنان,1
138,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""زواره""}",5392,زواره,1
139,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""سده لنجان""}",5393,سده لنجان,1
140,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""علويچه""}",5394,علويچه,1
141,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""فولادشهر""}",5395,فولادشهر,1
142,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""قمصر""}",5396,قمصر,1
143,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""قهدريجان""}",5397,قهدريجان,1
144,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""كليشادوسودرجان""}",5398,كليشادوسودرجان,1
145,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""كوشك""}",5399,كوشك,1
146,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""تبريز""}",5401,تبريز,1
